ad_year,roc_year,district,species,registered_count
2015,104,中山區,狗,756
2015,104,中正區,狗,422
2015,104,信義區,狗,707
2015,104,內湖區,狗,917
2015,104,北投區,狗,1208
2015,104,南港區,狗,404
2015,104,士林區,狗,1091
2015,104,大同區,狗,422
2015,104,大安區,狗,1009
2015,104,文山區,狗,946
2015,104,松山區,狗,956
2015,104,萬華區,狗,617
2015,104,中山區,貓,436
2015,104,中正區,貓,277
2015,104,信義區,貓,474
2015,104,內湖區,貓,592
2015,104,北投區,貓,497
2015,104,南港區,貓,229
2015,104,士林區,貓,569
2015,104,大同區,貓,247
2015,104,大安區,貓,510
2015,104,文山區,貓,620
2015,104,松山區,貓,468
2015,104,萬華區,貓,396
2016,105,中山區,狗,719
2016,105,中正區,狗,446
2016,105,信義區,狗,781
2016,105,內湖區,狗,996
2016,105,北投區,狗,1086
2016,105,南港區,狗,427
2016,105,士林區,狗,990
2016,105,大同區,狗,415
2016,105,大安區,狗,1046
2016,105,文山區,狗,1027
2016,105,松山區,狗,637
2016,105,萬華區,狗,577
2016,105,中山區,貓,493
2016,105,中正區,貓,281
2016,105,信義區,貓,573
2016,105,內湖區,貓,653
2016,105,北投區,貓,585
2016,105,南港區,貓,290
2016,105,士林區,貓,666
2016,105,大同區,貓,346
2016,105,大安區,貓,584
2016,105,文山區,貓,714
2016,105,松山區,貓,487
2016,105,萬華區,貓,463
2017,106,中山區,狗,628
2017,106,中正區,狗,340
2017,106,信義區,狗,668
2017,106,內湖區,狗,845
2017,106,北投區,狗,936
2017,106,南港區,狗,361
2017,106,士林區,狗,1007
2017,106,大同區,狗,387
2017,106,大安區,狗,1032
2017,106,文山區,狗,748
2017,106,松山區,狗,536
2017,106,萬華區,狗,518
2017,106,中山區,貓,504
2017,106,中正區,貓,279
2017,106,信義區,貓,598
2017,106,內湖區,貓,680
2017,106,北投區,貓,519
2017,106,南港區,貓,304
2017,106,士林區,貓,586
2017,106,大同區,貓,344
2017,106,大安區,貓,522
2017,106,文山區,貓,648
2017,106,松山區,貓,468
2017,106,萬華區,貓,464
2018,107,中山區,狗,726
2018,107,中正區,狗,370
2018,107,信義區,狗,617
2018,107,內湖區,狗,1073
2018,107,北投區,狗,816
2018,107,南港區,狗,361
2018,107,士林區,狗,970
2018,107,大同區,狗,431
2018,107,大安區,狗,895
2018,107,文山區,狗,926
2018,107,松山區,狗,589
2018,107,萬華區,狗,523
2018,107,中山區,貓,567
2018,107,中正區,貓,343
2018,107,信義區,貓,609
2018,107,內湖區,貓,908
2018,107,北投區,貓,563
2018,107,南港區,貓,338
2018,107,士林區,貓,693
2018,107,大同區,貓,314
2018,107,大安區,貓,699
2018,107,文山區,貓,725
2018,107,松山區,貓,508
2018,107,萬華區,貓,460
2019,108,中山區,狗,707
2019,108,中正區,狗,381
2019,108,信義區,狗,686
2019,108,內湖區,狗,1142
2019,108,北投區,狗,871
2019,108,南港區,狗,419
2019,108,士林區,狗,972
2019,108,大同區,狗,399
2019,108,大安區,狗,1125
2019,108,文山區,狗,852
2019,108,松山區,狗,571
2019,108,萬華區,狗,618
2019,108,中山區,貓,713
2019,108,中正區,貓,414
2019,108,信義區,貓,668
2019,108,內湖區,貓,1177
2019,108,北投區,貓,680
2019,108,南港區,貓,365
2019,108,士林區,貓,732
2019,108,大同區,貓,414
2019,108,大安區,貓,852
2019,108,文山區,貓,894
2019,108,松山區,貓,551
2019,108,萬華區,貓,651
2020,109,中山區,狗,749
2020,109,中正區,狗,412
2020,109,信義區,狗,719
2020,109,內湖區,狗,900
2020,109,北投區,狗,822
2020,109,南港區,狗,388
2020,109,士林區,狗,1039
2020,109,大同區,狗,459
2020,109,大安區,狗,1223
2020,109,文山區,狗,840
2020,109,松山區,狗,607
2020,109,萬華區,狗,563
2020,109,中山區,貓,790
2020,109,中正區,貓,427
2020,109,信義區,貓,668
2020,109,內湖區,貓,1037
2020,109,北投區,貓,806
2020,109,南港區,貓,443
2020,109,士林區,貓,874
2020,109,大同區,貓,478
2020,109,大安區,貓,1055
2020,109,文山區,貓,1025
2020,109,松山區,貓,685
2020,109,萬華區,貓,642
2021,110,中山區,狗,784
2021,110,中正區,狗,371
2021,110,信義區,狗,673
2021,110,內湖區,狗,961
2021,110,北投區,狗,761
2021,110,南港區,狗,325
2021,110,士林區,狗,951
2021,110,大同區,狗,494
2021,110,大安區,狗,1143
2021,110,文山區,狗,799
2021,110,松山區,狗,542
2021,110,萬華區,狗,613
2021,110,中山區,貓,897
2021,110,中正區,貓,557
2021,110,信義區,貓,820
2021,110,內湖區,貓,1231
2021,110,北投區,貓,886
2021,110,南港區,貓,509
2021,110,士林區,貓,1065
2021,110,大同區,貓,532
2021,110,大安區,貓,1169
2021,110,文山區,貓,1126
2021,110,松山區,貓,732
2021,110,萬華區,貓,724
2022,111,中山區,狗,758
2022,111,中正區,狗,403
2022,111,信義區,狗,624
2022,111,內湖區,狗,807
2022,111,北投區,狗,696
2022,111,南港區,狗,343
2022,111,士林區,狗,808
2022,111,大同區,狗,384
2022,111,大安區,狗,1007
2022,111,文山區,狗,748
2022,111,松山區,狗,563
2022,111,萬華區,狗,482
2022,111,中山區,貓,1059
2022,111,中正區,貓,629
2022,111,信義區,貓,919
2022,111,內湖區,貓,1248
2022,111,北投區,貓,981
2022,111,南港區,貓,544
2022,111,士林區,貓,1161
2022,111,大同區,貓,580
2022,111,大安區,貓,1268
2022,111,文山區,貓,1186
2022,111,松山區,貓,844
2022,111,萬華區,貓,837
2023,112,中山區,狗,626
2023,112,中正區,狗,408
2023,112,信義區,狗,509
2023,112,內湖區,狗,722
2023,112,北投區,狗,597
2023,112,南港區,狗,300
2023,112,士林區,狗,708
2023,112,大同區,狗,322
2023,112,大安區,狗,873
2023,112,文山區,狗,621
2023,112,松山區,狗,459
2023,112,萬華區,狗,459
2023,112,中山區,貓,916
2023,112,中正區,貓,588
2023,112,信義區,貓,886
2023,112,內湖區,貓,1276
2023,112,北投區,貓,899
2023,112,南港區,貓,553
2023,112,士林區,貓,1038
2023,112,大同區,貓,515
2023,112,大安區,貓,1162
2023,112,文山區,貓,1078
2023,112,松山區,貓,810
2023,112,萬華區,貓,800
2024,113,中山區,狗,604
2024,113,中正區,狗,321
2024,113,信義區,狗,530
2024,113,內湖區,狗,650
2024,113,北投區,狗,568
2024,113,南港區,狗,261
2024,113,士林區,狗,675
2024,113,大同區,狗,282
2024,113,大安區,狗,807
2024,113,文山區,狗,559
2024,113,松山區,狗,408
2024,113,萬華區,狗,403
2024,113,中山區,貓,1131
2024,113,中正區,貓,555
2024,113,信義區,貓,1112
2024,113,內湖區,貓,1288
2024,113,北投區,貓,963
2024,113,南港區,貓,513
2024,113,士林區,貓,1134
2024,113,大同區,貓,516
2024,113,大安區,貓,1122
2024,113,文山區,貓,1106
2024,113,松山區,貓,761
2024,113,萬華區,貓,848
